timestamp,traffic
2019-04-29 09:10:00,304
2019-04-29 09:11:00,264
2019-04-29 09:12:00,270
2019-04-29 09:13:00,292
2019-04-29 09:14:00,382
2019-04-29 09:15:00,390
2019-04-29 09:16:00,392
2019-04-29 09:17:00,344
2019-04-29 09:18:00,280
2019-04-29 09:19:00,314
2019-04-29 09:20:00,336
2019-04-29 09:21:00,346
2019-04-29 09:22:00,326
2019-04-29 09:23:00,384
2019-04-29 09:24:00,336
2019-04-29 09:25:00,382
2019-04-29 09:26:00,424
2019-04-29 09:27:00,384
2019-04-29 09:28:00,288
2019-04-29 09:29:00,320
2019-04-29 09:30:00,422
2019-04-29 09:31:00,398
2019-04-29 09:32:00,390
2019-04-29 09:33:00,360
2019-04-29 09:34:00,392
2019-04-29 09:35:00,438
2019-04-29 09:36:00,384
2019-04-29 09:37:00,304
2019-04-29 09:38:00,382
2019-04-29 09:39:00,392
2019-04-29 09:40:00,392
2019-04-29 09:41:00,320
2019-04-29 09:42:00,280
2019-04-29 09:43:00,264
2019-04-29 09:44:00,400
2019-04-29 09:45:00,430
2019-04-29 09:46:00,458
2019-04-29 09:47:00,392
2019-04-29 09:48:00,368
2019-04-29 09:49:00,368
2019-04-29 09:50:00,414
2019-04-29 09:51:00,384
2019-04-29 09:52:00,354
2019-04-29 09:53:00,406
2019-04-29 09:54:00,368
2019-04-29 09:55:00,376
2019-04-29 09:56:00,320
2019-04-29 09:57:00,352
2019-04-29 09:58:00,392
2019-04-29 09:59:00,352
2019-04-29 10:00:00,370
2019-04-29 10:01:00,336
2019-04-29 10:02:00,344
2019-04-29 10:03:00,344
2019-04-29 10:04:00,320
2019-04-29 10:05:00,280
2019-04-29 10:06:00,320
2019-04-29 10:07:00,276
2019-04-29 10:08:00,292
2019-04-29 10:09:00,304
2019-04-29 10:10:00,400
2019-04-29 10:11:00,470
2019-04-29 10:12:00,444
2019-04-29 10:13:00,398
2019-04-29 10:14:00,408
2019-04-29 10:15:00,344
2019-04-29 10:16:00,304
2019-04-29 10:17:00,320
2019-04-29 10:18:00,320
2019-04-29 10:19:00,318
2019-04-29 10:20:00,492
2019-04-29 10:21:00,392
2019-04-29 10:22:00,348
2019-04-29 10:23:00,404
2019-04-29 10:24:00,288
2019-04-29 10:25:00,336
2019-04-29 10:26:00,376
2019-04-29 10:27:00,336
2019-04-29 10:28:00,336
2019-04-29 10:29:00,280
2019-04-29 10:30:00,352
2019-04-29 10:31:00,296
2019-04-29 10:32:00,392
2019-04-29 10:33:00,368
2019-04-29 10:34:00,288
2019-04-29 10:35:00,248
2019-04-29 10:36:00,296
2019-04-29 10:37:00,376
2019-04-29 10:38:00,368
2019-04-29 10:39:00,400
2019-04-29 10:40:00,440
2019-04-29 10:41:00,340
2019-04-29 10:42:00,380
2019-04-29 10:43:00,344
2019-04-29 10:44:00,272
2019-04-29 10:45:00,270
2019-04-29 10:46:00,272
2019-04-29 10:47:00,320
2019-04-29 10:48:00,456
2019-04-29 10:49:00,334
2019-04-29 10:50:00,438
2019-04-29 10:51:00,402
2019-04-29 10:52:00,380
2019-04-29 10:53:00,368
2019-04-29 10:54:00,324
2019-04-29 10:55:00,304
2019-04-29 10:56:00,252
2019-04-29 10:57:00,348
2019-04-29 10:58:00,364
2019-04-29 10:59:00,332
2019-04-29 11:00:00,272
2019-04-29 11:01:00,352
2019-04-29 11:02:00,232
2019-04-29 11:03:00,416
2019-04-29 11:04:00,408
2019-04-29 11:05:00,232
2019-04-29 11:06:00,384
2019-04-29 11:07:00,368
2019-04-29 11:08:00,328
2019-04-29 11:09:00,280
2019-04-29 11:10:00,288
2019-04-29 11:11:00,240
2019-04-29 11:12:00,320
2019-04-29 11:13:00,376
2019-04-29 11:14:00,368
2019-04-29 11:15:00,304
2019-04-29 11:16:00,360
2019-04-29 11:17:00,392
2019-04-29 11:18:00,352
2019-04-29 11:19:00,304
2019-04-29 11:20:00,296
2019-04-29 11:21:00,400
2019-04-29 11:22:00,328
2019-04-29 11:23:00,368
2019-04-29 11:24:00,336
2019-04-29 11:25:00,312
2019-04-29 11:26:00,320
2019-04-29 11:27:00,392
2019-04-29 11:28:00,320
2019-04-29 11:29:00,296
2019-04-29 11:30:00,328
2019-04-29 11:31:00,312
2019-04-29 11:32:00,286
2019-04-29 11:33:00,320
2019-04-29 11:34:00,402
2019-04-29 11:35:00,296
2019-04-29 11:36:00,268
2019-04-29 11:37:00,274
2019-04-29 11:38:00,328
2019-04-29 11:39:00,352
2019-04-29 11:40:00,382
2019-04-29 11:41:00,344
2019-04-29 11:42:00,288
2019-04-29 11:43:00,336
2019-04-29 11:44:00,328
2019-04-29 11:45:00,272
2019-04-29 11:46:00,336
2019-04-29 11:47:00,304
2019-04-29 11:48:00,324
2019-04-29 11:49:00,366
2019-04-29 11:50:00,340
2019-04-29 11:51:00,440
2019-04-29 11:52:00,416
