timestamp,traffic
2019-12-04 20:10:00,104
2019-12-04 20:11:00,120
2019-12-04 20:12:00,276
2019-12-04 20:13:00,300
2019-12-04 20:14:00,344
2019-12-04 20:15:00,240
2019-12-04 20:16:00,328
2019-12-04 20:17:00,388
2019-12-04 20:18:00,312
2019-12-04 20:19:00,320
2019-12-04 20:20:00,260
2019-12-04 20:21:00,228
2019-12-04 20:22:00,318
2019-12-04 20:23:00,308
2019-12-04 20:24:00,278
2019-12-04 20:25:00,254
2019-12-04 20:26:00,302
2019-12-04 20:27:00,220
2019-12-04 20:28:00,270
2019-12-04 20:29:00,218
2019-12-04 20:30:00,272
2019-12-04 20:31:00,292
2019-12-04 20:32:00,280
2019-12-04 20:33:00,324
2019-12-04 20:34:00,376
2019-12-04 20:35:00,260
2019-12-04 20:36:00,276
2019-12-04 20:37:00,216
2019-12-04 20:38:00,252
2019-12-04 20:39:00,264
2019-12-04 20:40:00,304
2019-12-04 20:41:00,336
2019-12-04 20:42:00,212
2019-12-04 20:43:00,272
2019-12-04 20:44:00,182
2019-12-04 20:45:00,256
2019-12-04 20:46:00,236
2019-12-04 20:47:00,226
2019-12-04 20:48:00,330
2019-12-04 20:49:00,252
2019-12-04 20:50:00,260
2019-12-04 20:51:00,276
2019-12-04 20:52:00,338
2019-12-04 20:53:00,224
2019-12-04 20:54:00,232
2019-12-04 20:55:00,240
2019-12-04 20:56:00,210
2019-12-04 20:57:00,310
2019-12-04 20:58:00,254
2019-12-04 20:59:00,274
2019-12-04 21:00:00,238
2019-12-04 21:01:00,336
2019-12-04 21:02:00,330
2019-12-04 21:03:00,286
2019-12-04 21:04:00,280
2019-12-04 21:05:00,294
2019-12-04 21:06:00,310
2019-12-04 21:07:00,424
2019-12-04 21:08:00,280
2019-12-04 21:09:00,240
2019-12-04 21:10:00,280
2019-12-04 21:11:00,280
2019-12-04 21:12:00,308
2019-12-04 21:13:00,186
2019-12-04 21:14:00,308
2019-12-04 21:15:00,242
2019-12-04 21:16:00,256
2019-12-04 21:17:00,216
2019-12-04 21:18:00,354
2019-12-04 21:19:00,252
2019-12-04 21:20:00,310
2019-12-04 21:21:00,260
2019-12-04 21:22:00,312
2019-12-04 21:23:00,256
2019-12-04 21:24:00,262
2019-12-04 21:25:00,224
2019-12-04 21:26:00,194
2019-12-04 21:27:00,252
2019-12-04 21:28:00,210
2019-12-04 21:29:00,234
2019-12-04 21:30:00,386
2019-12-04 21:31:00,312
2019-12-04 21:32:00,244
2019-12-04 21:33:00,282
2019-12-04 21:34:00,306
2019-12-04 21:35:00,206
2019-12-04 21:36:00,250
2019-12-04 21:37:00,254
2019-12-04 21:38:00,250
2019-12-04 21:39:00,328
2019-12-04 21:40:00,270
2019-12-04 21:41:00,240
2019-12-04 21:42:00,256
2019-12-04 21:43:00,336
2019-12-04 21:44:00,308
2019-12-04 21:45:00,336
2019-12-04 21:46:00,304
2019-12-04 21:47:00,328
2019-12-04 21:48:00,256
2019-12-04 21:49:00,240
